entrant_id,rank,n_games,final_rating,win_rate,main_arch,main_arch_share,tier
E074,74,203,1026.659026970282,0.3892,Dudunsparce / Mega Froslass ex,0.852,T3
E075,75,375,1024.8717546041428,0.4293,Hydrapple ex / Meganium,1.0,T3
E076,76,540,1024.6908851863595,0.4352,Mega Kangaskhan ex / Slowking,1.0,T3
E077,77,136,1024.1596135530222,0.4338,Dudunsparce / Mega Froslass ex,1.0,T3
E078,78,233,1023.8092850693416,0.4077,Dudunsparce / Mega Froslass ex,1.0,T3
E079,79,267,1023.3448448446164,0.4007,Dragapult ex / Munkidori,0.708,T3
E080,80,656,1023.0219329928136,0.5091,Crustle / Mega Kangaskhan ex,0.931,T3
E081,81,502,1022.5104984332128,0.4562,Dragapult ex / Munkidori,0.753,T3
E082,82,205,1022.1693075228496,0.4732,Alakazam / Dudunsparce,1.0,T3
E083,83,284,1021.04588303539,0.4507,Alakazam / Dudunsparce,1.0,T3
E084,84,403,1019.9280417091118,0.4268,Budew / Dragapult ex,1.0,T3
E085,85,500,1018.5650658543856,0.442,Hydrapple ex / Meganium,1.0,T3
E086,86,190,1018.5632991165844,0.3895,Dragapult ex / Dudunsparce,1.0,T3
E087,87,773,1017.1224723055192,0.4502,Hydrapple ex / Meganium,1.0,T3
E088,88,114,1017.1114868238934,0.4474,Hydrapple ex / Meganium,0.904,T3
E089,89,651,1017.060556210182,0.4578,Budew / Dragapult ex,0.823,T3
E090,90,62,1016.8652796393296,0.3548,Alakazam / Dudunsparce,1.0,T3
E091,91,160,1016.5237903564696,0.4313,Barbaracle / Okidogi,1.0,T3
E092,92,39,1014.9290982167686,0.4615,Mega Gardevoir ex / Munkidori,1.0,T3
E093,93,305,1014.7190244780828,0.4,Mega Kangaskhan ex / Slowking,1.0,T3
E094,94,43,1014.0301445487144,0.4651,Hariyama / Mega Lucario ex,1.0,T3
E095,95,328,1013.5455937159636,0.4238,Dipplin / Thwackey,0.78,T3
E096,96,168,1012.9980671776996,0.4464,Hydrapple ex / Meganium,0.774,T3
E097,97,84,1012.8115439064088,0.4762,Teal Mask Ogerpon ex,1.0,T3
E098,98,514,1012.8030654378972,0.3988,Hydrapple ex / Meganium,0.516,T3
E099,99,162,1012.439329136356,0.3704,Dudunsparce / Mega Froslass ex,1.0,T3
E100,100,263,1012.2780344635416,0.4106,Budew / Dragapult ex,1.0,T3
E101,101,43,1011.430829997193,0.4419,Crustle / Mega Kangaskhan ex,1.0,T3
E102,102,60,1011.0884733544192,0.3833,Budew / Dragapult ex,0.517,T3
E103,103,48,1010.441931416802,0.2917,Dudunsparce / Mega Froslass ex,1.0,T3
E104,104,80,1010.428187283402,0.425,Budew / Dragapult ex,1.0,T3
E105,105,447,1009.657997485062,0.4922,Dipplin / Thwackey,1.0,T3
E106,106,104,1008.8572503280916,0.3365,Budew / Dragapult ex,1.0,T3
E107,107,126,1008.8154777622278,0.4365,Hariyama / Mega Lucario ex,1.0,T3
E108,108,184,1008.6806966001028,0.4022,Budew / Dragapult ex,1.0,T3
E109,109,43,1008.6226087703288,0.4186,Hariyama / Mega Lucario ex,0.256,T3
E110,110,85,1008.5149692417756,0.4353,Dudunsparce / Mega Froslass ex,0.882,T3
E111,111,190,1008.3206634332704,0.4,Budew / Dragapult ex,0.963,T3
E112,112,312,1007.893835301762,0.4551,Hydrapple ex / Meganium,0.804,T3
E113,113,106,1007.594954655649,0.4151,Crustle / Mega Kangaskhan ex,0.83,T3
E114,114,127,1007.4606277455536,0.4016,Dudunsparce / Mega Froslass ex,0.984,T3
E115,115,527,1007.2521678875476,0.4459,Hydrapple ex / Meganium,0.888,T3
E116,116,224,1007.078456174882,0.4464,Alakazam / Dudunsparce,0.509,T3
E117,117,375,1005.4009709941296,0.4133,Dudunsparce / Mega Froslass ex,0.976,T3
E118,118,701,1005.1745992810628,0.4494,Mega Kangaskhan ex / Slowking,1.0,T3
E119,119,83,1004.9944605046708,0.4217,Hariyama / Mega Lucario ex,1.0,T3
E120,121,36,1004.0447027471844,0.4167,Crustle / Mega Kangaskhan ex,1.0,T3
E121,122,95,1003.8013095738464,0.4316,Dudunsparce / Mega Froslass ex,0.842,T3
E122,123,81,1003.7134643917752,0.358,Froslass / Marnie's Grimmsnarl ex,1.0,T3
E123,124,147,1003.5194998691128,0.415,Alakazam / Dudunsparce,1.0,T3
E124,125,100,1002.8514308645956,0.47,Budew / Dragapult ex,1.0,T3
E125,126,78,1002.6815892191128,0.3974,Crustle / Mega Kangaskhan ex,1.0,T3
E126,127,368,1002.2310395866282,0.4837,Budew / Dragapult ex,1.0,T3
E127,128,386,1001.9794153187212,0.487,Alakazam / Dudunsparce,1.0,T3
E128,129,106,1001.760613319935,0.3868,Hariyama / Mega Lucario ex,1.0,T3
E129,130,39,1001.207647910842,0.4359,Crustle / Mega Kangaskhan ex,1.0,T3
E130,131,379,1000.6873782279164,0.4274,Alakazam / Dudunsparce,1.0,T3
E131,132,171,1000.5004583015804,0.3626,Hydrapple ex / Meganium,0.719,T3
E132,133,50,998.8967914907646,0.46,Dudunsparce / Mega Froslass ex,1.0,T3
E133,134,159,998.0582071776151,0.3459,Mega Kangaskhan ex / Slowking,1.0,T3
E134,135,50,997.9624436634372,0.48,Crustle / Mega Kangaskhan ex,1.0,T3
E135,137,187,997.503979529716,0.4439,Dipplin / Thwackey,0.727,T3
E136,138,37,997.387274595744,0.4324,Froslass / Marnie's Grimmsnarl ex,0.973,T3
E137,139,76,997.2655015899772,0.4605,Budew / Dragapult ex,0.632,T3
E138,140,82,996.8298882018278,0.3415,Dudunsparce / Mega Froslass ex,1.0,T3
E139,142,45,996.0893482886914,0.4667,Crustle / Mega Kangaskhan ex,0.511,T3
E140,143,95,995.519670499289,0.4105,Alakazam / Dudunsparce,1.0,T3
E141,145,115,995.3612537795676,0.4957,Dudunsparce / Mega Froslass ex,1.0,T3
E142,147,41,994.90811901196,0.4878,Dudunsparce / Mega Froslass ex,0.902,T3
E143,150,45,993.9015842765244,0.4,Dudunsparce / Mega Froslass ex,1.0,T3
E144,151,41,993.8593764270764,0.3659,Froslass / Marnie's Grimmsnarl ex,1.0,T3
E145,152,256,993.5415164459122,0.3516,Dudunsparce / Mega Froslass ex,1.0,T3
E146,153,449,993.4742020136024,0.4454,Hydrapple ex / Meganium,0.61,T3
E147,154,65,993.4248258698382,0.4615,Budew / Dragapult ex,1.0,T3
E148,155,39,993.412001387974,0.4103,Alakazam / Dudunsparce,1.0,T3
E149,156,153,993.1703793254768,0.3987,Alakazam / Dudunsparce,1.0,T3
E150,157,103,993.1440049130445,0.4078,Budew / Dragapult ex,1.0,T3
E151,158,73,992.9645674159558,0.4658,Budew / Dragapult ex,1.0,T3
E152,160,64,992.0903313155608,0.3281,Budew / Dragapult ex,1.0,T3
E153,161,85,991.9893052660974,0.4235,Budew / Dragapult ex,1.0,T3
E154,162,78,991.8725994644268,0.4359,Hariyama / Mega Lucario ex,1.0,T3
E155,163,64,991.803965765058,0.3438,Alakazam / Dudunsparce,0.797,T3
E156,164,118,991.5256140477316,0.4068,Budew / Dragapult ex,1.0,T3
E157,165,38,991.0670952436648,0.5,Alakazam / Dudunsparce,1.0,T4
E158,166,113,990.9324067418984,0.5133,Alakazam / Dudunsparce,1.0,T4
E159,167,61,990.6154089873876,0.4262,Alakazam / Dudunsparce,1.0,T4
E160,168,769,990.4175133737156,0.459,Hydrapple ex / Meganium,0.847,T4
E161,169,106,989.9648111445724,0.4528,Hariyama / Mega Lucario ex,1.0,T4
E162,170,62,989.1860490997252,0.3548,Dudunsparce / Mega Froslass ex,1.0,T4
E163,171,56,988.6864422401412,0.6071,Dudunsparce / Mega Froslass ex,1.0,T4
E164,174,64,987.638166110092,0.4375,Froslass / Mega Starmie ex,1.0,T4
E165,175,30,987.3935137235434,0.4333,Dudunsparce / Mega Froslass ex,0.933,T4
E166,176,30,987.3816996494542,0.4,Crustle / Mega Kangaskhan ex,0.6,T4
E167,177,332,987.3792342596092,0.4398,Budew / Dragapult ex,0.684,T4
E168,178,85,986.443138841304,0.4706,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E169,179,127,986.403020093172,0.378,Dudunsparce / Mega Froslass ex,1.0,T4
E170,180,63,986.1562750236416,0.3492,Budew / Dragapult ex,1.0,T4
E171,181,284,986.0951021007686,0.412,Munkidori / N’s Zoroark ex,0.581,T4
E172,182,57,985.972282067382,0.3333,Alakazam / Dudunsparce,1.0,T4
E173,183,143,985.8359417525952,0.4685,Crustle / Mega Lucario ex,1.0,T4
E174,185,124,985.3813464295636,0.4919,Dudunsparce / Mega Froslass ex,1.0,T4
E175,186,66,984.8315890532036,0.4091,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E176,187,67,984.8224700113047,0.4478,Alakazam / Dudunsparce,1.0,T4
E177,189,171,984.515611895125,0.3918,Dudunsparce / Mega Froslass ex,1.0,T4
E178,190,85,984.1536722820726,0.4706,Hydrapple ex / Meganium,1.0,T4
E179,193,98,983.948153980932,0.5102,Alakazam / Dudunsparce,0.878,T4
E180,194,83,983.4812776151408,0.3614,Alakazam / Dudunsparce,0.614,T4
E181,196,44,983.230498596254,0.4091,Froslass / Marnie's Grimmsnarl ex,0.5,T4
E182,197,52,983.1834464968696,0.5,Alakazam / Dudunsparce,1.0,T4
E183,198,52,982.8672355921792,0.5,Crustle / Mega Kangaskhan ex,1.0,T4
E184,200,126,982.5333848370188,0.3651,Dudunsparce / Mega Froslass ex,1.0,T4
E185,201,43,981.6294613216838,0.4186,Alakazam / Dudunsparce,1.0,T4
E186,202,70,981.6014190792766,0.4286,Dudunsparce / Mega Froslass ex,1.0,T4
E187,203,80,981.49316559247,0.3375,Dudunsparce / Mega Froslass ex,1.0,T4
E188,205,37,980.6278843417492,0.6486,Crustle / Mega Kangaskhan ex,1.0,T4
E189,206,182,980.368414821866,0.4725,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E190,208,34,980.1476486821398,0.4412,Hydrapple ex / Meganium,1.0,T4
E191,209,81,979.5055961805276,0.5309,Crustle / Mega Kangaskhan ex,1.0,T4
E192,210,30,979.0032604647324,0.5,Dudunsparce / Mega Froslass ex,1.0,T4
E193,211,97,978.9804537331694,0.4433,Hydrapple ex / Meganium,0.773,T4
E194,213,44,976.850597349428,0.4773,Budew / Dragapult ex,1.0,T4
E195,215,59,976.6380811537152,0.5763,Cynthia's Garchomp ex / Cynthia's Roserade,1.0,T4
E196,217,31,975.6019344072774,0.4194,Froslass / Marnie's Grimmsnarl ex,0.71,T4
E197,218,66,975.3895758979088,0.3636,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E198,219,109,975.3817410404512,0.2936,Crustle / Mega Kangaskhan ex,1.0,T4
E199,220,129,974.499326101968,0.4186,Hydrapple ex / Meganium,0.814,T4
E200,225,56,972.1529153206347,0.3929,Froslass / Marnie's Grimmsnarl ex,0.768,T4
E201,226,87,972.1038764190738,0.3448,Alakazam / Dudunsparce,1.0,T4
E202,227,45,971.8659826407838,0.4667,Hariyama / Mega Lucario ex,0.711,T4
E203,228,48,971.7954811645812,0.4375,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E204,229,60,970.4164599315776,0.5333,Dudunsparce / Mega Froslass ex,0.95,T4
E205,233,71,969.8771417911256,0.4225,Dudunsparce / Mega Froslass ex,1.0,T4
E206,234,172,968.858342821766,0.3721,Dudunsparce / Mega Lopunny ex,1.0,T4
E207,236,44,968.6681734095166,0.5682,Alakazam / Dudunsparce,1.0,T4
E208,237,148,968.5972054458034,0.4392,Dudunsparce / Mega Froslass ex,1.0,T4
E209,238,54,968.4593933892692,0.5,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E210,241,40,966.530058308874,0.475,Budew / Dragapult ex,1.0,T4
E211,242,64,966.4385856145412,0.3594,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E212,243,31,966.4284325317406,0.3548,Crustle / Team Rocket's Articuno,1.0,T4
E213,244,78,965.0745445609464,0.3846,Team Rocket's Mimikyu / Team Rocket's Spidops,1.0,T4
E214,245,89,964.7959331832648,0.427,Crustle / Mega Kangaskhan ex,1.0,T4
