arch,Budew / Dragapult ex,Hydrapple ex / Meganium,Mega Kangaskhan ex / Slowking,Alakazam / Dudunsparce,Dudunsparce / Mega Froslass ex,Crustle / Mega Kangaskhan ex,Blaziken ex / Dragapult ex,Dragapult ex / Munkidori
Budew / Dragapult ex,0.0,-1.0,-2.1,11.8,-1.5,-14.7,3.0,4.5
Hydrapple ex / Meganium,1.0,-0.0,-2.3,-18.3,20.8,3.2,-5.4,10.7
Mega Kangaskhan ex / Slowking,1.7,0.8,-0.2,-7.2,10.8,1.7,-4.3,4.9
Alakazam / Dudunsparce,-11.8,18.3,7.1,-0.0,-6.3,6.4,-3.8,-13.9
Dudunsparce / Mega Froslass ex,1.5,-20.8,-12.5,6.3,0.0,25.1,2.0,1.9
Crustle / Mega Kangaskhan ex,14.7,-3.3,-1.9,-6.4,-25.1,-0.0,-5.5,6.7
Blaziken ex / Dragapult ex,-3.0,5.4,3.6,3.8,-2.0,5.5,0.0,5.5
Dragapult ex / Munkidori,-4.5,-10.7,-5.1,13.9,-1.9,-6.7,-5.5,0.0
